user,Timesteps,Average Acc,Std
jackie,4,0.709464158330644,0.0356255210772794
jackie,8,0.77230486699513,0.0461991868527669
jackie,12,0.796023794582911,0.0513152388291958
jackie,16,0.800762917314256,0.0587647729457919
jackie,20,0.832053210054125,0.0385808858964864
jackie,24,0.853734467710767,0.0669566040869637
juan,4,0.667543717793055,0.0429167186216883
juan,8,0.692196037088121,0.0760780157002331
juan,12,0.724614305155617,0.0948400512804974
juan,16,0.732550144195556,0.104122292982073
juan,20,0.733198591641017,0.10939310347078
juan,24,0.786976380007607,0.115715012305587